#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-24T10:31:44 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-24T10:31:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-c.r=  2&-c.geom=r&-source=I/355/gaiadr3&-order=I&-out.orig=standard&-out=Source&-sort=Source&-out=BP-RP&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	header_format=mini	
#INFO	header_format=mini	

#RESOURCE=yCat_1355
#Name: I/355
#Title: Gaia DR3 Part 1. Main source (Gaia Collaboration, 2022)
#INFO	ivoid=ivo://cds.vizier/i/355	    IVOID of underlying data collection
#INFO	creator=Gaia collaboration	    First author or institution
#INFO	cites=bibcode:2022yCat.1355....0G	    Bibcode of the dataset
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/355	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.1355	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-06-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_355_gaiadr3:
#Name: I/355/gaiadr3
#Title: Gaia DR3 source catalog (1811709771 sources)
#Column	Source	(I19)	Unique source identifier (unique within a particular Data Release) (source_id)	[ucd=meta.id;meta.main]
#Column	BP-RP	(F9.6)	? BP-RP colour (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
#Source	BP-RP
# 	mag
#-------------------	---------
3811534951212403072	 0.770509

3701419896778537216	 0.977807

3814827954178529664	 1.021303

6034500386022688896	 0.687133

 600698184764497664	 0.647920

 604703052788343296	 1.124862

 601159910928534144	 0.667767

 604901823875341056	 1.112697

 604912647193030016	 1.088292

 604916770361557504	 1.071780

 604914601402325504	 1.131733

 604926631606409600	 1.152612

 604915636490059008	 1.033496

 604919690939411456	 1.156933

 604922748956025216	 1.151734

 608182831000585728	 1.155219

 656028805330545792	 0.597132

 611642860944510848	 1.143744

 661793957110898304	 0.709495

 685042030968334592	 0.821178

6293670601102816128	 0.561138

3603546766152900352	 0.684574

6293764540627556224	 0.538294

3603943552411556992	 0.712813

3609494604367804928	 1.066169

3610040069509734784	 0.723874

3621104592459099264	 0.718807

3609593118033074816	 0.624033

3612433843762525952	 0.726089

3616611232033727744	 1.260479

3611793206440551552	 0.607508

3615366756669561472	 0.714225

3615575354641355776	 0.632802

3618206382887369216	 0.777730

3616022615355691008	 0.668969

3616169468877383808	 0.762746

3625243497823510400	 0.871788

3619804557398013056	 0.726163

3618527126749447808	 0.595898

3616285948390580352	 0.724560

3618617222279058048	 0.641700

3632266662705367168	 0.635046

3633416202112330240	 0.615361

6759168021467638912	 0.735518

6759456192288661120	 0.632917

6762055201570400128	 0.740378

6765107235375811456	 0.820522

6763096576510087808	 0.759012

6767852617131329280	 0.710279

6768850217774349184	 0.838555

4088255987567480064	 0.633671

2537319343919089024	 1.142059

2538674324497021568	 0.608237

2551759337501198848	 0.647922

2576110771277428096	 1.084425

2579772969631487360	 0.752189

4060239400532063232	 0.621508

4110562192344494976	 0.806600

4117900642176819072	 0.687338

4121039129382062592	 0.770656

3578236420798563328	 0.655369

3581001280225616128	 0.641463

3581292685166588672	 0.899207

3581130988238001920	 0.859440

3582411644407324416	 0.594378

3675408471030248448	 0.820501

3675829072879875584	 0.832477

3679803154579458816	 0.580234

3680149947418585600	 0.927497

3695295342134266368	 0.787271

3697030096605291392	 0.981282

3703440421193830912	 0.612855

4128448257160512000	 0.868386

6029054917217291648	 0.668617

4114986042975604224	 0.807296

4115418357187032832	 0.807430

4122343906051101184	 0.730908

4109488347412656640	 0.718317

4114115882599336192	 0.706549

4059760254009463936	 0.901274

4107762698323739776	 1.009615

4108197898724077568	 0.737026

5980497975571537920	 0.801512

4061540603846761728	 0.784698

4056976153055897856	 0.743043

2413510765513745664	 0.652098

2605909116938061056	 0.766578

2413838419978893312	 0.688636

2437827324155575936	 0.602519

2606345863572225536	 0.694163

2606363971154380672	 0.669821

2435843461581808896	 0.790238

2607188776673909504	 0.678136

2630347171614445568	 0.712150

2631283474485026176	 0.760132

2631031170926210944	 0.575807

2440315759487638528	 0.689635

2634943576895459968	 1.093526

2632594470302762112	 0.713732

2635037963096691712	 0.634608

2635251951251535488	 1.144817

2635505908373407104	 0.677452

2634027752428716928	 0.677457

2447248897559835648	 0.699238

2639405120203115776	 0.573974

2640292735324146304	 0.654238

2639617429026568064	 0.679968

2639593445928989184	 0.749286

2650421505158653824	 0.866888

2637931018707332224	 0.697393

2650902026099857920	 0.746953

2651195939301975680	 0.729884

3392510077730740480	 0.828019

3308786630964211840	 0.547391

3392264130723408128	 0.646402

3393398036449903488	 0.678923

3394900072412693120	 0.622822

3405663157376847232	 0.702342

3410806054296962176	 0.690227

3413762572344691328	 0.841804

3413361864785417088	 0.644663

3419824248667573248	 0.843176

 149726790484381568	 0.609973

 154413836753621248	 0.738846

3855159522448972928	 0.844727

3857486741888336768	 0.621752

3857564704134866176	 0.659827

3857608822038688896	 0.599892

3860502874081973632	 0.661225

3860557162468561920	 0.844571

3860698930749216000	 0.627481

3873821047975405568	 0.713037

3865532551368281984	 0.693686

3862656989159401600	 0.694643

3865797572325691008	 1.055623

3868607610513131520	 0.801721

3863639673381566208	 0.662818

3875669881072822912	 1.140306

3868869126777833216	 1.183807

3867549399290841984	 0.676230

3876288528162304384	 1.164879

3867977766444693376	 1.087454

3877070590167177344	 0.890718

3870379787034831488	 0.784866

3877532797367523968	 0.632572

3871570729926034432	 0.599397

3872187757812173952	 0.829968

3871606326614958208	 1.119220

3884522388490280064	 0.695474

6234789726214387200	 0.782025

6214384886347032704	 0.599326

6214741299913205888	 1.169046

6237915294174621312	 0.762504

6231313757639595776	 0.815552

6241718642333934976	 0.769844

6252999734716483200	 0.707782

6252875146305695616	 0.743257

6253595841818228096	 0.651834

6241692563292234880	 0.763453

6255960272847315200	 0.737221

6247707574794288384	 1.224424

6253768052825972096	 1.114320

6257538175113769728	 0.744785

6255432266754247680	 0.896446

6259159886045203072	 0.795082

6261445530206341120	 0.581979

6260939479977516544	 0.619813

6261353308667155456	 0.669174

6261838983567815168	 1.207493

6263829477573983744	 0.719307

6314189992042467072	 0.791354

6263938982061338368	 0.867740

6266389552960280064	 0.737875

