#																	
#   VizieR Astronomical Server vizier.cds.unistra.fr																	
#    Date: 2024-12-03T10:36:53 [V7.4.2]																	
"#   In case of problem, please report to:"	cds-question@unistra.fr																
#																	
#																	
#Coosys	J2000:	eq_FK5 J2000															
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved															
#INFO	request_date=2024-12-03T10:36:54	  Query execution date															
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-source=J/A+A/688/A13/table2&-order=I&-out=EPIC&-sort=EPIC&-out=Campaign&-out=Kpmag&-out=theta&-out=e_theta&-out=teffIRFM&-out=e_teffIRFM&-out=teffSPC&-out=e_teffSPC&-out=logg&-out=e_logg&-out=[Fe/H]&-out=e_[Fe/H]&-out=vsini&-out=e_vsini&-out=RVLOS&-out=e_RVLOS&-out=Notes&-out.max=50&	  Full request URL (POST)															
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher															
#INFO	server_software=7.4.2	  Software version															
#INFO	publisher=CDS	  Data centre that produced the VOTable															
																	
#RESOURCE=yCat_36880013																	
#Name: J/A+A/688/A13																	
"#Title: K2 asteroseismic KEYSTONE Sample. I. (Lund+, 2024)"																	
#INFO	ivoid=ivo://cds.vizier/j/a+a/688/a13	    IVOID of underlying data collection															
#INFO	creator=Lund M.N.	    First author or institution															
#INFO	cites=bibcode:2024A&A...688A..13L	    Article or Data origin sources															
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)															
#INFO	original_date=2024	    Year of the article publication															
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/688/A13	    Dataset landing page															
#INFO	citation=doi:10.26093/cds/vizier.36880013	    Dataset identifier that can be used for citation															
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre															
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI															
#INFO	*-sort=211405262																
#Constraint 211405262																	
#Table	J_A_A_688_A13_table2:																
#Name: J/A+A/688/A13/table2																	
#Title: Atmospheric properties																	
#Column	EPIC	(I9)	EPIC identification number	[ucd=meta.id;meta.main]													
#Column	Campaign	(a12)	K2 observing Campaign(s) (1)	[ucd=meta.note]													
#Column	Kpmag	(F6.3)	Kepler magnitude	[ucd=phot.mag;em.opt]													
#Column	theta	(I3)	? IRFM angular diameter	[ucd=phys.angSize]													
